ISO	Country	Subject Descriptor	Units	Scale	2010	Estimates Start After
SLB	Solomon Islands	Implied PPP conversion rate	National currency per current international dollar		3.529	2006
ZAF	South Africa	Implied PPP conversion rate	National currency per current international dollar		4.991	2010
ESP	Spain	Implied PPP conversion rate	National currency per current international dollar		0.776	2010
LKA	Sri Lanka	Implied PPP conversion rate	National currency per current international dollar		52.729	2009
KNA	St. Kitts and Nevis	Implied PPP conversion rate	National currency per current international dollar		2.096	2008
LCA	St. Lucia	Implied PPP conversion rate	National currency per current international dollar		1.479	2009
VCT	St. Vincent and the Grenadines	Implied PPP conversion rate	National currency per current international dollar		1.416	2009
SDN	Sudan	Implied PPP conversion rate	National currency per current international dollar		1.625	2009
SUR	Suriname	Implied PPP conversion rate	National currency per current international dollar		2.146	2009
SWZ	Swaziland	Implied PPP conversion rate	National currency per current international dollar		4.422	2009
SWE	Sweden	Implied PPP conversion rate	National currency per current international dollar		9.262	2010
CHE	Switzerland	Implied PPP conversion rate	National currency per current international dollar		1.683	2010
SYR	Syrian Arab Republic	Implied PPP conversion rate	National currency per current international dollar		25.723	2009
TWN	Taiwan Province of China	Implied PPP conversion rate	National currency per current international dollar		16.567	2010
TJK	Tajikistan	Implied PPP conversion rate	National currency per current international dollar		1.676	2010
TZA	Tanzania	Implied PPP conversion rate	National currency per current international dollar		518.809	2010
THA	Thailand	Implied PPP conversion rate	National currency per current international dollar		17.215	2009
TLS	Democratic Republic of Timor-Leste	Implied PPP conversion rate	National currency per current international dollar		0.206	2007
TGO	Togo	Implied PPP conversion rate	National currency per current international dollar		264.263	2009
TON	Tonga	Implied PPP conversion rate	National currency per current international dollar		0.954	2009
TTO	Trinidad and Tobago	Implied PPP conversion rate	National currency per current international dollar		5.018	2009
TUN	Tunisia	Implied PPP conversion rate	National currency per current international dollar		0.634	2010
TUR	Turkey	Implied PPP conversion rate	National currency per current international dollar		1.160	2009
TKM	Turkmenistan	Implied PPP conversion rate	National currency per current international dollar		1.655	2009
TUV	Tuvalu	Implied PPP conversion rate	National currency per current international dollar		0.960	2008
UGA	Uganda	Implied PPP conversion rate	National currency per current international dollar		819.153	2010
UKR	Ukraine	Implied PPP conversion rate	National currency per current international dollar		3.549	2009
ARE	United Arab Emirates	Implied PPP conversion rate	National currency per current international dollar		4.492	2010
GBR	United Kingdom	Implied PPP conversion rate	National currency per current international dollar		0.669	2010
USA	United States	Implied PPP conversion rate	National currency per current international dollar		1.000	2010
URY	Uruguay	Implied PPP conversion rate	National currency per current international dollar		16.832	2010
UZB	Uzbekistan	Implied PPP conversion rate	National currency per current international dollar		720.251	2009
VUT	Vanuatu	Implied PPP conversion rate	National currency per current international dollar		58.248	2009
VEN	Venezuela	Implied PPP conversion rate	National currency per current international dollar		2.905	2010
VNM	Vietnam	Implied PPP conversion rate	National currency per current international dollar		7,162.518	2010
YEM	Republic of Yemen	Implied PPP conversion rate	National currency per current international dollar		108.314	2008
ZMB	Zambia	Implied PPP conversion rate	National currency per current international dollar		3,875.687	2010
ZWE	Zimbabwe	Implied PPP conversion rate	National currency per current international dollar		1.370	2009
AFG	Islamic Republic of Afghanistan	Value of oil imports	U.S. dollars	Billions		
ALB	Albania	Value of oil imports	U.S. dollars	Billions	0.497	2010
DZA	Algeria	Value of oil imports	U.S. dollars	Billions	0.000	2009
AGO	Angola	Value of oil imports	U.S. dollars	Billions	0.858	
ATG	Antigua and Barbuda	Value of oil imports	U.S. dollars	Billions	0.000	2010
ARG	Argentina	Value of oil imports	U.S. dollars	Billions	4.443	2010
ARM	Armenia	Value of oil imports	U.S. dollars	Billions		
AUS	Australia	Value of oil imports	U.S. dollars	Billions	14.911	2010
AUT	Austria	Value of oil imports	U.S. dollars	Billions	10.686	2010
AZE	Azerbaijan	Value of oil imports	U.S. dollars	Billions		
BHS	The Bahamas	Value of oil imports	U.S. dollars	Billions	0.547	2009
BHR	Bahrain	Value of oil imports	U.S. dollars	Billions	5.565	
BGD	Bangladesh	Value of oil imports	U.S. dollars	Billions	3.146	
BRB	Barbados	Value of oil imports	U.S. dollars	Billions		
BLR	Belarus	Value of oil imports	U.S. dollars	Billions	7.661	2009
BEL	Belgium	Value of oil imports	U.S. dollars	Billions	46.215	2010
BLZ	Belize	Value of oil imports	U.S. dollars	Billions	0.113	2009
BEN	Benin	Value of oil imports	U.S. dollars	Billions	0.165	2010
BTN	Bhutan	Value of oil imports	U.S. dollars	Billions	0.075	
BOL	Bolivia	Value of oil imports	U.S. dollars	Billions	0.391	
BIH	Bosnia and Herzegovina	Value of oil imports	U.S. dollars	Billions	2.159	2010
BWA	Botswana	Value of oil imports	U.S. dollars	Billions	0.705	2010
BRA	Brazil	Value of oil imports	U.S. dollars	Billions	25.344	
BRN	Brunei Darussalam	Value of oil imports	U.S. dollars	Billions	0.000	2009
BGR	Bulgaria	Value of oil imports	U.S. dollars	Billions	4.392	
BFA	Burkina Faso	Value of oil imports	U.S. dollars	Billions	0.494	2010
BDI	Burundi	Value of oil imports	U.S. dollars	Billions		
KHM	Cambodia	Value of oil imports	U.S. dollars	Billions	2.108	2010
CMR	Cameroon	Value of oil imports	U.S. dollars	Billions	0.138	2010
CAN	Canada	Value of oil imports	U.S. dollars	Billions	23.139	2010
CPV	Cape Verde	Value of oil imports	U.S. dollars	Billions	0.117	2010
CAF	Central African Republic	Value of oil imports	U.S. dollars	Billions	0.079	2008
TCD	Chad	Value of oil imports	U.S. dollars	Billions	0.204	2008
CHL	Chile	Value of oil imports	U.S. dollars	Billions	4.341	2010
CHN	China	Value of oil imports	U.S. dollars	Billions	163.558	2010
COL	Colombia	Value of oil imports	U.S. dollars	Billions	0.903	2009
COM	Comoros	Value of oil imports	U.S. dollars	Billions	0.044	
COD	Democratic Republic of Congo	Value of oil imports	U.S. dollars	Billions	0.815	2008
COG	Republic of Congo	Value of oil imports	U.S. dollars	Billions	2.485	2004
CRI	Costa Rica	Value of oil imports	U.S. dollars	Billions	1.676	2010
CIV	Côte d'Ivoire	Value of oil imports	U.S. dollars	Billions	1.800	
HRV	Croatia	Value of oil imports	U.S. dollars	Billions	3.702	2009
CYP	Cyprus	Value of oil imports	U.S. dollars	Billions	1.865	2010
CZE	Czech Republic	Value of oil imports	U.S. dollars	Billions	9.712	2010
DNK	Denmark	Value of oil imports	U.S. dollars	Billions	9.105	2009
DJI	Djibouti	Value of oil imports	U.S. dollars	Billions	0.115	2010
DMA	Dominica	Value of oil imports	U.S. dollars	Billions	0.033	2010
DOM	Dominican Republic	Value of oil imports	U.S. dollars	Billions	3.427	2010
ECU	Ecuador	Value of oil imports	U.S. dollars	Billions	3.782	
EGY	Egypt	Value of oil imports	U.S. dollars	Billions	5.161	
SLV	El Salvador	Value of oil imports	U.S. dollars	Billions	1.438	2010
GNQ	Equatorial Guinea	Value of oil imports	U.S. dollars	Billions	0.203	2010
ERI	Eritrea	Value of oil imports	U.S. dollars	Billions	0.106	2008
EST	Estonia	Value of oil imports	U.S. dollars	Billions	2.076	2010
ETH	Ethiopia	Value of oil imports	U.S. dollars	Billions	1.311	2010
FJI	Fiji	Value of oil imports	U.S. dollars	Billions		
FIN	Finland	Value of oil imports	U.S. dollars	Billions	9.274	2010
FRA	France	Value of oil imports	U.S. dollars	Billions		
GAB	Gabon	Value of oil imports	U.S. dollars	Billions	0.572	2006
GMB	The Gambia	Value of oil imports	U.S. dollars	Billions	0.037	2010
GEO	Georgia	Value of oil imports	U.S. dollars	Billions		
DEU	Germany	Value of oil imports	U.S. dollars	Billions	94.836	2010
GHA	Ghana	Value of oil imports	U.S. dollars	Billions	2.017	2010
GRC	Greece	Value of oil imports	U.S. dollars	Billions	17.082	
GRD	Grenada	Value of oil imports	U.S. dollars	Billions	0.050	2009
GTM	Guatemala	Value of oil imports	U.S. dollars	Billions	2.282	
GIN	Guinea	Value of oil imports	U.S. dollars	Billions	0.313	
GNB	Guinea-Bissau	Value of oil imports	U.S. dollars	Billions	0.039	2009
GUY	Guyana	Value of oil imports	U.S. dollars	Billions	0.394	2010
HTI	Haiti	Value of oil imports	U.S. dollars	Billions	0.001	
HND	Honduras	Value of oil imports	U.S. dollars	Billions	1.436	2010
HKG	Hong Kong SAR	Value of oil imports	U.S. dollars	Billions	15.321	2010
HUN	Hungary	Value of oil imports	U.S. dollars	Billions	5.855	
ISL	Iceland	Value of oil imports	U.S. dollars	Billions	0.466	
IND	India	Value of oil imports	U.S. dollars	Billions	80.695	2010
IDN	Indonesia	Value of oil imports	U.S. dollars	Billions	23.700	2010
IRN	Islamic Republic of Iran	Value of oil imports	U.S. dollars	Billions	1.686	2008
IRQ	Iraq	Value of oil imports	U.S. dollars	Billions	7.386	2010
IRL	Ireland	Value of oil imports	U.S. dollars	Billions	5.478	2010
ISR	Israel	Value of oil imports	U.S. dollars	Billions	10.446	
ITA	Italy	Value of oil imports	U.S. dollars	Billions	41.434	2009
JAM	Jamaica	Value of oil imports	U.S. dollars	Billions	1.660	2009
JPN	Japan	Value of oil imports	U.S. dollars	Billions	134.334	2010
JOR	Jordan	Value of oil imports	U.S. dollars	Billions	2.991	2009
KAZ	Kazakhstan	Value of oil imports	U.S. dollars	Billions	2.263	2010
KEN	Kenya	Value of oil imports	U.S. dollars	Billions	2.673	2010
KIR	Kiribati	Value of oil imports	U.S. dollars	Billions	--	2009
KOR	Korea	Value of oil imports	U.S. dollars	Billions	72.465	2010
UVK	Kosovo	Value of oil imports	U.S. dollars	Billions		
KWT	Kuwait	Value of oil imports	U.S. dollars	Billions	0.000	2009
KGZ	Kyrgyz Republic	Value of oil imports	U.S. dollars	Billions		
LAO	Lao People's Democratic Republic	Value of oil imports	U.S. dollars	Billions	0.417	2009
LVA	Latvia	Value of oil imports	U.S. dollars	Billions	2.196	2010
LBN	Lebanon	Value of oil imports	U.S. dollars	Billions	4.281	2009
LSO	Lesotho	Value of oil imports	U.S. dollars	Billions	0.000	2009
LBR	Liberia	Value of oil imports	U.S. dollars	Billions	0.123	
LBY	Libya	Value of oil imports	U.S. dollars	Billions	3.204	2009
LTU	Lithuania	Value of oil imports	U.S. dollars	Billions	7.501	2010
LUX	Luxembourg	Value of oil imports	U.S. dollars	Billions	0.000	2010
MKD	Former Yugoslav Republic of Macedonia	Value of oil imports	U.S. dollars	Billions	0.822	2010
MDG	Madagascar	Value of oil imports	U.S. dollars	Billions	0.472	
MWI	Malawi	Value of oil imports	U.S. dollars	Billions	0.181	2010
MYS	Malaysia	Value of oil imports	U.S. dollars	Billions	12.388	2010
MDV	Maldives	Value of oil imports	U.S. dollars	Billions	0.270	
MLI	Mali	Value of oil imports	U.S. dollars	Billions	0.678	2009
MLT	Malta	Value of oil imports	U.S. dollars	Billions	0.657	
MRT	Mauritania	Value of oil imports	U.S. dollars	Billions	0.295	
MUS	Mauritius	Value of oil imports	U.S. dollars	Billions	0.837	2010
MEX	Mexico	Value of oil imports	U.S. dollars	Billions	29.995	2010
MDA	Moldova	Value of oil imports	U.S. dollars	Billions	0.438	2009
MNG	Mongolia	Value of oil imports	U.S. dollars	Billions	0.722	2010
MNE	Montenegro	Value of oil imports	U.S. dollars	Billions		
MAR	Morocco	Value of oil imports	U.S. dollars	Billions	8.489	2009
MOZ	Mozambique	Value of oil imports	U.S. dollars	Billions	0.352	
MMR	Myanmar	Value of oil imports	U.S. dollars	Billions	0.934	2009
NAM	Namibia	Value of oil imports	U.S. dollars	Billions	0.568	
NPL	Nepal	Value of oil imports	U.S. dollars	Billions	0.693	2010
NLD	Netherlands	Value of oil imports	U.S. dollars	Billions	73.356	2010
NZL	New Zealand	Value of oil imports	U.S. dollars	Billions	4.490	
NIC	Nicaragua	Value of oil imports	U.S. dollars	Billions		
NER	Niger	Value of oil imports	U.S. dollars	Billions	0.326	
NGA	Nigeria	Value of oil imports	U.S. dollars	Billions	7.929	2010
NOR	Norway	Value of oil imports	U.S. dollars	Billions	0.809	2010
OMN	Oman	Value of oil imports	U.S. dollars	Billions	0.000	2009
PAK	Pakistan	Value of oil imports	U.S. dollars	Billions	10.089	2010
PAN	Panama	Value of oil imports	U.S. dollars	Billions	1.630	2007
PNG	Papua New Guinea	Value of oil imports	U.S. dollars	Billions	--	2010
PRY	Paraguay	Value of oil imports	U.S. dollars	Billions	1.012	2010
PER	Peru	Value of oil imports	U.S. dollars	Billions	2.927	2010
PHL	Philippines	Value of oil imports	U.S. dollars	Billions	9.531	2010
POL	Poland	Value of oil imports	U.S. dollars	Billions	16.565	2010
PRT	Portugal	Value of oil imports	U.S. dollars	Billions	8.023	2010
QAT	Qatar	Value of oil imports	U.S. dollars	Billions	0.000	2009
ROU	Romania	Value of oil imports	U.S. dollars	Billions	4.243	2010
RUS	Russia	Value of oil imports	U.S. dollars	Billions	0.000	2009
RWA	Rwanda	Value of oil imports	U.S. dollars	Billions	0.311	2010
WSM	Samoa	Value of oil imports	U.S. dollars	Billions		
STP	São Tomé and Príncipe	Value of oil imports	U.S. dollars	Billions	0.016	2009
SAU	Saudi Arabia	Value of oil imports	U.S. dollars	Billions	0.000	2009
SEN	Senegal	Value of oil imports	U.S. dollars	Billions	1.320	2009
SRB	Serbia	Value of oil imports	U.S. dollars	Billions	3.886	2010
SYC	Seychelles	Value of oil imports	U.S. dollars	Billions	0.217	2009
SLE	Sierra Leone	Value of oil imports	U.S. dollars	Billions	0.151	2010
SGP	Singapore	Value of oil imports	U.S. dollars	Billions	78.101	2010
SVK	Slovak Republic	Value of oil imports	U.S. dollars	Billions	7.200	2010
SVN	Slovenia	Value of oil imports	U.S. dollars	Billions	1.357	2010
SLB	Solomon Islands	Value of oil imports	U.S. dollars	Billions	0.048	2010
ZAF	South Africa	Value of oil imports	U.S. dollars	Billions	11.181	2010
ESP	Spain	Value of oil imports	U.S. dollars	Billions	44.417	
LKA	Sri Lanka	Value of oil imports	U.S. dollars	Billions	2.936	2010
KNA	St. Kitts and Nevis	Value of oil imports	U.S. dollars	Billions	0.013	
LCA	St. Lucia	Value of oil imports	U.S. dollars	Billions	0.094	2009
VCT	St. Vincent and the Grenadines	Value of oil imports	U.S. dollars	Billions	0.055	2010
SDN	Sudan	Value of oil imports	U.S. dollars	Billions	0.291	2009
SUR	Suriname	Value of oil imports	U.S. dollars	Billions	0.074	2010
SWZ	Swaziland	Value of oil imports	U.S. dollars	Billions	0.373	2009
SWE	Sweden	Value of oil imports	U.S. dollars	Billions	18.458	2010
CHE	Switzerland	Value of oil imports	U.S. dollars	Billions		
SYR	Syrian Arab Republic	Value of oil imports	U.S. dollars	Billions	3.541	2009
TWN	Taiwan Province of China	Value of oil imports	U.S. dollars	Billions	38.111	2010
TJK	Tajikistan	Value of oil imports	U.S. dollars	Billions		
TZA	Tanzania	Value of oil imports	U.S. dollars	Billions	1.911	2010
THA	Thailand	Value of oil imports	U.S. dollars	Billions	31.383	2010
TLS	Democratic Republic of Timor-Leste	Value of oil imports	U.S. dollars	Billions		
TGO	Togo	Value of oil imports	U.S. dollars	Billions		
TON	Tonga	Value of oil imports	U.S. dollars	Billions	--	
TTO	Trinidad and Tobago	Value of oil imports	U.S. dollars	Billions	2.793	2009
TUN	Tunisia	Value of oil imports	U.S. dollars	Billions	2.653	2010
TUR	Turkey	Value of oil imports	U.S. dollars	Billions	38.493	2010
TKM	Turkmenistan	Value of oil imports	U.S. dollars	Billions	0.000	2009
TUV	Tuvalu	Value of oil imports	U.S. dollars	Billions		
UGA	Uganda	Value of oil imports	U.S. dollars	Billions	0.486	2010
UKR	Ukraine	Value of oil imports	U.S. dollars	Billions	7.570	2009
ARE	United Arab Emirates	Value of oil imports	U.S. dollars	Billions	0.000	
GBR	United Kingdom	Value of oil imports	U.S. dollars	Billions	56.203	2010
USA	United States	Value of oil imports	U.S. dollars	Billions	336.027	2010
URY	Uruguay	Value of oil imports	U.S. dollars	Billions	1.531	
UZB	Uzbekistan	Value of oil imports	U.S. dollars	Billions	0.000	
VUT	Vanuatu	Value of oil imports	U.S. dollars	Billions	0.023	2010
VEN	Venezuela	Value of oil imports	U.S. dollars	Billions	1.508	2010
VNM	Vietnam	Value of oil imports	U.S. dollars	Billions	6.846	2010
YEM	Republic of Yemen	Value of oil imports	U.S. dollars	Billions	2.264	
ZMB	Zambia	Value of oil imports	U.S. dollars	Billions	0.618	2010
ZWE	Zimbabwe	Value of oil imports	U.S. dollars	Billions	0.830	2010
AFG	Islamic Republic of Afghanistan	Value of oil exports	U.S. dollars	Billions		
ALB	Albania	Value of oil exports	U.S. dollars	Billions	0.000	2010
DZA	Algeria	Value of oil exports	U.S. dollars	Billions	58.591	2009
AGO	Angola	Value of oil exports	U.S. dollars	Billions	47.703	
ATG	Antigua and Barbuda	Value of oil exports	U.S. dollars	Billions	0.000	2010
ARG	Argentina	Value of oil exports	U.S. dollars	Billions	6.240	2010
ARM	Armenia	Value of oil exports	U.S. dollars	Billions		
AUS	Australia	Value of oil exports	U.S. dollars	Billions	9.642	2010
AUT	Austria	Value of oil exports	U.S. dollars	Billions	1.264	2010
AZE	Azerbaijan	Value of oil exports	U.S. dollars	Billions	25.868	2009
BHS	The Bahamas	Value of oil exports	U.S. dollars	Billions	0.000	2009
BHR	Bahrain	Value of oil exports	U.S. dollars	Billions	11.003	
BGD	Bangladesh	Value of oil exports	U.S. dollars	Billions	--	
BRB	Barbados	Value of oil exports	U.S. dollars	Billions		
BLR	Belarus	Value of oil exports	U.S. dollars	Billions	6.933	2009
BEL	Belgium	Value of oil exports	U.S. dollars	Billions	27.708	2010
BLZ	Belize	Value of oil exports	U.S. dollars	Billions	0.111	2009
BEN	Benin	Value of oil exports	U.S. dollars	Billions	0.000	2010
BTN	Bhutan	Value of oil exports	U.S. dollars	Billions	--	
BOL	Bolivia	Value of oil exports	U.S. dollars	Billions	0.133	
BIH	Bosnia and Herzegovina	Value of oil exports	U.S. dollars	Billions	0.358	2010
BWA	Botswana	Value of oil exports	U.S. dollars	Billions	0.000	2010
BRA	Brazil	Value of oil exports	U.S. dollars	Billions	0.000	
BRN	Brunei Darussalam	Value of oil exports	U.S. dollars	Billions	8.181	2009
BGR	Bulgaria	Value of oil exports	U.S. dollars	Billions	2.230	
BFA	Burkina Faso	Value of oil exports	U.S. dollars	Billions	0.000	2010
BDI	Burundi	Value of oil exports	U.S. dollars	Billions		
KHM	Cambodia	Value of oil exports	U.S. dollars	Billions	0.000	2010
CMR	Cameroon	Value of oil exports	U.S. dollars	Billions	1.837	2010
CAN	Canada	Value of oil exports	U.S. dollars	Billions	48.586	2010
CPV	Cape Verde	Value of oil exports	U.S. dollars	Billions	0.000	2010
CAF	Central African Republic	Value of oil exports	U.S. dollars	Billions	0.000	2008
TCD	Chad	Value of oil exports	U.S. dollars	Billions	3.350	2008
CHL	Chile	Value of oil exports	U.S. dollars	Billions	0.000	2010
CHN	China	Value of oil exports	U.S. dollars	Billions	20.422	2010
COL	Colombia	Value of oil exports	U.S. dollars	Billions	15.829	2009
COM	Comoros	Value of oil exports	U.S. dollars	Billions	0.000	
COD	Democratic Republic of Congo	Value of oil exports	U.S. dollars	Billions	0.631	2008
COG	Republic of Congo	Value of oil exports	U.S. dollars	Billions	8.227	2004
CRI	Costa Rica	Value of oil exports	U.S. dollars	Billions	0.000	2010
CIV	Côte d'Ivoire	Value of oil exports	U.S. dollars	Billions	3.037	
HRV	Croatia	Value of oil exports	U.S. dollars	Billions	1.465	2009
CYP	Cyprus	Value of oil exports	U.S. dollars	Billions	0.000	2010
CZE	Czech Republic	Value of oil exports	U.S. dollars	Billions	4.105	2010
DNK	Denmark	Value of oil exports	U.S. dollars	Billions	13.563	2009
DJI	Djibouti	Value of oil exports	U.S. dollars	Billions	0.000	2010
DMA	Dominica	Value of oil exports	U.S. dollars	Billions	0.000	2010
DOM	Dominican Republic	Value of oil exports	U.S. dollars	Billions	0.000	2010
ECU	Ecuador	Value of oil exports	U.S. dollars	Billions	9.419	
EGY	Egypt	Value of oil exports	U.S. dollars	Billions	8.033	
SLV	El Salvador	Value of oil exports	U.S. dollars	Billions	0.000	2010
GNQ	Equatorial Guinea	Value of oil exports	U.S. dollars	Billions	9.887	2010
ERI	Eritrea	Value of oil exports	U.S. dollars	Billions	0.000	2008
EST	Estonia	Value of oil exports	U.S. dollars	Billions	1.539	2010
ETH	Ethiopia	Value of oil exports	U.S. dollars	Billions	0.000	2010
FJI	Fiji	Value of oil exports	U.S. dollars	Billions		
FIN	Finland	Value of oil exports	U.S. dollars	Billions	5.145	2010
FRA	France	Value of oil exports	U.S. dollars	Billions		
GAB	Gabon	Value of oil exports	U.S. dollars	Billions	6.697	2006
GMB	The Gambia	Value of oil exports	U.S. dollars	Billions	0.000	2010
GEO	Georgia	Value of oil exports	U.S. dollars	Billions		
DEU	Germany	Value of oil exports	U.S. dollars	Billions	4.283	2010
GHA	Ghana	Value of oil exports	U.S. dollars	Billions	0.000	2010
GRC	Greece	Value of oil exports	U.S. dollars	Billions	5.649	
GRD	Grenada	Value of oil exports	U.S. dollars	Billions	0.000	2009
GTM	Guatemala	Value of oil exports	U.S. dollars	Billions	0.242	
GIN	Guinea	Value of oil exports	U.S. dollars	Billions	0.000	
GNB	Guinea-Bissau	Value of oil exports	U.S. dollars	Billions	0.000	2009
GUY	Guyana	Value of oil exports	U.S. dollars	Billions	0.000	2010
HTI	Haiti	Value of oil exports	U.S. dollars	Billions	--	
HND	Honduras	Value of oil exports	U.S. dollars	Billions	--	2010
HKG	Hong Kong SAR	Value of oil exports	U.S. dollars	Billions	0.391	2010
HUN	Hungary	Value of oil exports	U.S. dollars	Billions	0.000	
ISL	Iceland	Value of oil exports	U.S. dollars	Billions	0.040	
IND	India	Value of oil exports	U.S. dollars	Billions	36.040	2010
IDN	Indonesia	Value of oil exports	U.S. dollars	Billions	15.436	2010
IRN	Islamic Republic of Iran	Value of oil exports	U.S. dollars	Billions	71.958	2008
IRQ	Iraq	Value of oil exports	U.S. dollars	Billions	50.077	2010
IRL	Ireland	Value of oil exports	U.S. dollars	Billions	0.944	2010
ISR	Israel	Value of oil exports	U.S. dollars	Billions	0.000	
ITA	Italy	Value of oil exports	U.S. dollars	Billions	11.281	2009
JAM	Jamaica	Value of oil exports	U.S. dollars	Billions	0.341	2009
JPN	Japan	Value of oil exports	U.S. dollars	Billions	0.000	2010
JOR	Jordan	Value of oil exports	U.S. dollars	Billions	0.000	2009
KAZ	Kazakhstan	Value of oil exports	U.S. dollars	Billions	38.269	2010
KEN	Kenya	Value of oil exports	U.S. dollars	Billions	0.090	2010
KIR	Kiribati	Value of oil exports	U.S. dollars	Billions	--	2009
KOR	Korea	Value of oil exports	U.S. dollars	Billions	0.000	2010
UVK	Kosovo	Value of oil exports	U.S. dollars	Billions		
KWT	Kuwait	Value of oil exports	U.S. dollars	Billions	59.084	2009
KGZ	Kyrgyz Republic	Value of oil exports	U.S. dollars	Billions		
LAO	Lao People's Democratic Republic	Value of oil exports	U.S. dollars	Billions	0.451	2009
LVA	Latvia	Value of oil exports	U.S. dollars	Billions	0.526	2010
LBN	Lebanon	Value of oil exports	U.S. dollars	Billions	0.000	2009
LSO	Lesotho	Value of oil exports	U.S. dollars	Billions	0.000	2009
LBR	Liberia	Value of oil exports	U.S. dollars	Billions	0.000	
LBY	Libya	Value of oil exports	U.S. dollars	Billions	42.233	2009
LTU	Lithuania	Value of oil exports	U.S. dollars	Billions	4.889	2010
LUX	Luxembourg	Value of oil exports	U.S. dollars	Billions	0.000	2010
MKD	Former Yugoslav Republic of Macedonia	Value of oil exports	U.S. dollars	Billions	0.126	2010
MDG	Madagascar	Value of oil exports	U.S. dollars	Billions	0.348	
MWI	Malawi	Value of oil exports	U.S. dollars	Billions	0.000	2010
MYS	Malaysia	Value of oil exports	U.S. dollars	Billions	17.702	2010
MDV	Maldives	Value of oil exports	U.S. dollars	Billions	0.000	
MLI	Mali	Value of oil exports	U.S. dollars	Billions	0.000	2009
MLT	Malta	Value of oil exports	U.S. dollars	Billions	0.000	
MRT	Mauritania	Value of oil exports	U.S. dollars	Billions	0.297	
MUS	Mauritius	Value of oil exports	U.S. dollars	Billions	0.000	2010
MEX	Mexico	Value of oil exports	U.S. dollars	Billions	42.739	2010
MDA	Moldova	Value of oil exports	U.S. dollars	Billions	0.000	2009
MNG	Mongolia	Value of oil exports	U.S. dollars	Billions	0.156	2010
MNE	Montenegro	Value of oil exports	U.S. dollars	Billions		
MAR	Morocco	Value of oil exports	U.S. dollars	Billions	0.489	2009
MOZ	Mozambique	Value of oil exports	U.S. dollars	Billions	0.000	
MMR	Myanmar	Value of oil exports	U.S. dollars	Billions	--	2009
NAM	Namibia	Value of oil exports	U.S. dollars	Billions	0.000	
NPL	Nepal	Value of oil exports	U.S. dollars	Billions	0.000	2010
NLD	Netherlands	Value of oil exports	U.S. dollars	Billions	67.566	2010
NZL	New Zealand	Value of oil exports	U.S. dollars	Billions	1.584	
NIC	Nicaragua	Value of oil exports	U.S. dollars	Billions		
NER	Niger	Value of oil exports	U.S. dollars	Billions	0.000	
NGA	Nigeria	Value of oil exports	U.S. dollars	Billions	65.073	2010
NOR	Norway	Value of oil exports	U.S. dollars	Billions	46.323	2010
OMN	Oman	Value of oil exports	U.S. dollars	Billions	23.925	2009
PAK	Pakistan	Value of oil exports	U.S. dollars	Billions	0.976	2010
PAN	Panama	Value of oil exports	U.S. dollars	Billions	0.403	2007
PNG	Papua New Guinea	Value of oil exports	U.S. dollars	Billions	0.729	2010
PRY	Paraguay	Value of oil exports	U.S. dollars	Billions	0.000	2010
PER	Peru	Value of oil exports	U.S. dollars	Billions	3.088	2010
PHL	Philippines	Value of oil exports	U.S. dollars	Billions	1.349	2010
POL	Poland	Value of oil exports	U.S. dollars	Billions	0.000	2010
PRT	Portugal	Value of oil exports	U.S. dollars	Billions	2.302	2010
QAT	Qatar	Value of oil exports	U.S. dollars	Billions	61.023	2009
ROU	Romania	Value of oil exports	U.S. dollars	Billions	3.713	2010
RUS	Russia	Value of oil exports	U.S. dollars	Billions	203.705	2009
RWA	Rwanda	Value of oil exports	U.S. dollars	Billions	0.000	2010
WSM	Samoa	Value of oil exports	U.S. dollars	Billions		
STP	São Tomé and Príncipe	Value of oil exports	U.S. dollars	Billions	0.000	2009
SAU	Saudi Arabia	Value of oil exports	U.S. dollars	Billions	205.385	2009
SEN	Senegal	Value of oil exports	U.S. dollars	Billions	0.456	2009
SRB	Serbia	Value of oil exports	U.S. dollars	Billions	0.320	2010
SYC	Seychelles	Value of oil exports	U.S. dollars	Billions	0.000	2009
SLE	Sierra Leone	Value of oil exports	U.S. dollars	Billions	0.000	2010
SGP	Singapore	Value of oil exports	U.S. dollars	Billions	70.651	2010
SVK	Slovak Republic	Value of oil exports	U.S. dollars	Billions	2.786	2010
SVN	Slovenia	Value of oil exports	U.S. dollars	Billions	0.016	2010
SLB	Solomon Islands	Value of oil exports	U.S. dollars	Billions	0.000	2010
ZAF	South Africa	Value of oil exports	U.S. dollars	Billions	0.000	2010
ESP	Spain	Value of oil exports	U.S. dollars	Billions	8.983	
LKA	Sri Lanka	Value of oil exports	U.S. dollars	Billions	0.200	2010
KNA	St. Kitts and Nevis	Value of oil exports	U.S. dollars	Billions	0.000	
LCA	St. Lucia	Value of oil exports	U.S. dollars	Billions	0.022	2009
VCT	St. Vincent and the Grenadines	Value of oil exports	U.S. dollars	Billions	0.000	2010
SDN	Sudan	Value of oil exports	U.S. dollars	Billions	10.089	2009
SUR	Suriname	Value of oil exports	U.S. dollars	Billions	0.263	2010
SWZ	Swaziland	Value of oil exports	U.S. dollars	Billions	0.000	2009
SWE	Sweden	Value of oil exports	U.S. dollars	Billions	12.745	2010
CHE	Switzerland	Value of oil exports	U.S. dollars	Billions		
SYR	Syrian Arab Republic	Value of oil exports	U.S. dollars	Billions	5.013	2009
